"ID#","SERIES","SHOT","YEAR","MON","DAY","TIME","SITE","LAT","LONG","NT","HOLE","HOB","GZALT","NT","TYPE","PUR","YD-MN","YD-MX","YD-EST","NT","YIELD","MAG","CRAT","VENT","DEVIC","WARHEAD","R","N","SOURCES"
"1","","596","1964","OCT","16","07:00","LN","42.35000","88.30000","?","","102","","","AS-T","","20","22","22","","22","","","","IU","NGB","C","","1,2,3"
"2","","","1965","MAY","14","02:00","LN","41.50000","88.50000","","","500","","","A-AD","","20","40","35","","35","","","","IU","NGB","C","*","1,2,3"
"3","","","1966","MAY","9","08:00","LN","41.50000","88.50000","","","","","","A-AD","","200","300","250","","250","","","","BF","","C","*","1,2,3"
"4","","","1966","OCT","27","01:10","LN","41.50000","88.50000","","","569","","","A-R","","12","30","12","","12","","","","IU","DF-2 wh","C","*","1,2,3"
"5","","","1966","DEC","28","04:00","LN","41.50000","88.50000","","","102","","","AS-T","","300","500","122","","300","","","","BF","","C","","1,2,3"
"6","","","1967","JUN","17","00:19:08.20","LN-D","40.74400","89.77500","","","2960","","","A-AD","","3000","3300","3300","","3300","4.70","","","TN","NGB/DF-3 wh","C","*","1,2,3,4"
"7","","","1967","DEC","24","04:00","LN","41.50000","88.50000","","","","","","A-AD","","15","25","","","20","","","","BF","","","*","1,2,3"
"8","","","1968","DEC","27","07:30","LN","41.50000","88.50000","","","","","","A-AD","","3000","","","","3000","","","","TN","NGB/DF-3 wh","","*","1,2,3"
"9","","","1969","SEP","22","16:14:59.21","LN-B","41.37600","88.31800","","","","","","UG-T","","20","25","19.2","","19.2","5.20","","","","","C","","1,2,3,4"
"10","","","1969","SEP","29","08:40:12.36","LN-D","40.72200","89.51500","","","","","","A-AD","","3000","","3000","","3000","4.37","","","TN","NGB/DF-3 wh","C","*","1,2,3,4"
"11","","","1970","OCT","14","07:29:56.91","LN-D","40.52000","89.77900","","","","","","A-AD","","3000","3400","3400","","3400","4.60","","","TN","NGB/DF-3 wh","","*","1,2,3,4"
"12","","","1971","NOV","18","06:00","LN","41.50000","88.50000","","","","","","AS-T","","15","20","","","20","","","","PR","","","","1,2,3,b"
"13","","","1972","JAN","7","07:00","LN","41.50000","88.50000","","","","","","A-AD","","8","20","","","8","","","","IC","tactical NW?","","*","1,2,3"
"14","","","1972","MAR","18","06:00","LN","41.50000","88.50000","","","","","","A-AD","","100","200","","","170","","","","PR?","","","*","1,2,3"
"15","","","1973","JUN","27","03:59:46.29","LN-D","40.79850","89.80910","T","","","","","A-AD","","2000","3000","3000","","3000","4.80","","","TN","NGB/DF-3 wh","","*","1,2,3,4"
"16","","","1974","JUN","17","05:59:52.72","LN-D","40.51800","89.61900","","","","","","A","","200","1000","1000","","1000","4.50","","","TN","BM wh?","","","1,2,3,4"
"17","","","1975","OCT","27","00:59:58.23","LN-B","41.37500","88.32600","","","","","","UG-T","","0","10","2.5","","2.5","5.00","","","","","","","1,2,3,4"
"18","","","1976","JAN","23","06:00","LN","41.50000","88.50000","","","","","","A","","0","20","","","","","","","","","","","1,2,3"
"19","","","1976","SEP","26","06:00","LN","41.50000","88.50000","","","","","","A","","200","","","","200","","","","FZ","","","","1,2,3"
"20","","","1976","OCT","17","04:59:58.80","LN-A","41.70800","88.37000","","","","","","UG-T","","10","20","2.6","","2.6","4.90","","","","","","","1,2,3,4"
"21","","","1976","NOV","17","06:00:12.70","LN-D","40.69600","89.62700","","","","","","A-AD","","4000","","4000","","4000","4.70","","","TN","DF-5 wh?","","*","1,2,3,4"
"22","","","1977","SEP","17","07:00","LN","41.50000","88.50000","","","","","","A","","0","20","","","","","","","","","","","1,2,3"
"23","","","1978","MAR","15","05:00","LN","41.50000","88.50000","","","","","","A","","6","20","","","11","","","","","","C","","1,2,3"
"24","","","1978","OCT","14","00:59:58.01","LN-C","41.52300","88.72200","","","","","","UG-S","","0","20","3.4","","3.4","4.90","","","","","","","1,2,3,4"
"25","","","1978","DEC","14","","LN","41.50000","88.50000","","","","","","A","","0","20","","","","","","","","","","","1,2,3"
"26","","","1979","FEB","2","","LN","41.50000","88.50000","","","","","","UG","","0","20","","","1","","","","","","","","e"
"27","","","1979","SEP","13","","LN","41.50000","88.50000","","","","","","UG","","0","20","","","","","","","","","","","1,2,3,e"
"28","","","1980","OCT","16","04:30:29.67","LN-D","40.71900","89.65100","","","","","","A","","200","1000","1000","","1000","4.44","","","","BM wh?","","","1,2,3,4"
"29","","","1982","OCT","5","","LN","41.50000","88.50000","","","","","","UG","","3","15","","","7","4.50","","","","","","","1,2,3"
"30","","","1983","MAY","4","04:59:57.82","LN-A","41.67900","88.36800","","","","","","UG-T","","1","","1","","1","4.50","","","","","","","1,2,3,4"
"31","","","1983","OCT","6","09:59:58.05","LN-C","41.53800","88.71400","","","","","","UG-S","","20","100","14.9","","","5.47","","","","","","","1,2,3,4"
"32","","","1984","OCT","3","05:59:57.99","LN-C","41.57130","88.72160","T","","","","","UG-S","","15","70","9.1","","","5.20","","","","","","","1,2,3,4"
"33","","","1984","DEC","19","05:59:58.34","LN-A","41.73700","88.42500","","","","","","UG-T","","5","50","1.3","","15","4.70","","","","","","","1,2,3,4"
"34","","","1987","JUN","5","04:59:58.26","LN-C","41.51800","88.71300","","","","","","UG-S","","250","400","250","","250","6.30","","","","JL-1 wh?","","","1,2,3,4,c"
"35","","","1988","SEP","29","06:59:57.97","LN-A","41.76800","88.38000","","","","","","UG-T","","1","20","2.5","","3","4.70","","","ER?","tactical ERW?","","","1,2,3,4"
"36","","","1990","MAY","26","07:59:57.94","LN-C","41.56900","88.70100","","","","","","UG-S","","15","65","11.5","","","5.50","","","","","","","1,2,3,4"
"37","","","1990","AUG","16","04:59:57.70","LN-C","41.51400","88.73900","","","","","","UG-S","","50","200","189","","189","6.20","","","","JL-1 wh?","","","1,2,3,4"
"38","","","1992","MAY","21","04:59:57.45","LN-C","41.51300","88.77400","","","","","","UG-S","","660","1000","650","","660","6.50","","","","BM wh?","","","1,2,3,4"
"39","","","1992","SEP","25","07:59:58.47","LN-A","41.71600","88.33600","","","","","","UG-T","","5","20","8","","8","5.00","","","PR?","","","","1,2,3,4,c"
"40","","","1992","NOV","2","","LN","41.50000","88.50000","","","","","","UG","","0.001","20","","","1","","","","","","","","e"
"41","","","1993","OCT","5","01:59:56.6","LN-C","41.66700","88.69500","","","","","","UG-S","","40","80","80","","80","5.90","","","","DF-31 wh?","","","1,2,3,a"
"42","","","1994","JUN","10","06:25:57.9","LN-C","41.53000","88.71000","","","","","","UG-S?","","40","50","90","","90","5.80","","","","DF-31 wh?","","","1,2,b,c"
"43","","","1994","OCT","7","03:25:58.1","LN-C","41.66000","88.75000","","","","","","UG-S","","40","50","90","","90","6.00","","","","DF-31 wh?","","","1,2,a,c"
"44","","","1995","MAY","15","04:05:57.8","LN-C","41.60000","88.82000","","","","","","UG-S","","40","150","95","","95","6.10","","","","DF-31 wh?","","","1,2,a"
"45","","","1995","AUG","17","00:59:57.7","LN-C","41.56000","88.80000","","","","","","UG-S?","","60","80","90","","90","6.00","","","","DF-31 wh?","","","1,2,c"
"46","","","1996","JUN","8","02:55:57.9","LN-C","41.66000","88.69000","","","","","","UG-S?","","20","80","50","","50","5.90","","","","","","","1,2,b,c"
"47","","","1996","JUN","8","02:55:57.9","LN-C","41.66000","88.69000","","","","","","UG-S?","","","","","","","","","","","","","","1,2,b"
