"ID#","SERIES","SHOT","YEAR","MON","DAY","TIME","SITE","LAT","LONG","NT","HOLE","HOB","GZALT","NT","TYPE","PUR","YD-MN","YD-MX","YD-EST","NT","YIELD","MAG","CRAT","VENT","DEVIC","WARHEAD","R","N","SOURCES"
"1","Gerboise","Gerboise Bleue","1960","FEB","13","07:04","AL-R","26.31170","-0.05720","","","105","","","AS-T","WE","60","70","","","65","","","","IP","","","","1,2,4"
"2","Gerboise","Gerboise Blanche","1960","APR","1","06:17","AL-R","26.16610","-0.10250","","","0","","","AS","WR","0","20","","","10","","C","","IP","","","","1,2,4"
"3","Gerboise","Gerboise Rouge","1960","DEC","27","07:30","AL-R","26.35360","-0.12360","","","50","","","AS-T","WE","0","10","3","?","3","","","","IP","","","","1,2,4"
"4","Gerboise","Gerboise Verte","1961","APR","25","06:00","AL-R","26.32170","-0.07330","*","","50","","","AS-T","","0","1","","","0.5","","","","FZ","","","","1,2,4"
"5","","Agate","1961","NOV","7","11:29:59.931","AL-IE","24.05710","5.05210","","","","","","UG-T","WR","0","10","","","10","","","","IP","","","","1,2,4"
"6","","Beryl","1962","MAY","1","10:00:00.458","AL-IE","24.06300","5.04180","","E2","","","","UG-T","WR","10","40","20","GT","40","","","V","IP","AN-11","","","1,2,4"
"7","","Emeraude","1963","MAR","18","10:02:00.351","AL-IE","24.04130","5.05210","","","","","","UG-T","WR","10","20","10","","10","4.86","","","IP","","","","1,2,4"
"8","","Amethyste","1963","MAR","30","09:59:00.328","AL-IE","24.04330","5.05700","","E3","","","","UG-T","WR","0","5","","","2.5","","","V","IP","","","","1,2,4"
"9","","Rubis","1963","OCT","20","13:00:00.011","AL-IE","24.03550","5.03860","","E11?","","","","UG-T","WR","40","80","52","","52","5.60","","V","IP","","","","1,2,4"
"10","","Opale (Michele)","1964","FEB","14","11:00:00.347","AL-IE","24.05360","5.05230","","","-353","","","UG-T","WR/P","0","5","3.7","","3.7","4.52","","","IP","","","","1,2,4"
"11","","Topaze","1964","JUN","15","13:40:00.367","AL-IE","24.06660","5.03450","","","","","","UG-T","WR","0","5","","","2.5","","","","IP","","","","1,2,4"
"12","","Turquoise","1964","NOV","28","10:30:00.035","AL-IE","24.04180","5.04160","","","","","","UG-T","WR","0","10","","","10","","","","IP","","","","1,2,4"
"13","","Saphir (Monique)","1965","FEB","27","11:30:00.039","AL-IE","24.05870","5.03110","","","-785","","","UG-T","WR/P","80","150","127","","127","5.80","","","IP","","","","1,2,4"
"14","","Jade","1965","MAY","30","11:00:00.037","AL-IE","24.05500","5.05080","","","","","","UG-T","WR","0","5","","","2.5","","","V","IP","","","","1,2,4"
"15","","Corindon","1965","OCT","1","10:00:00.043","AL-IE","24.06490","5.03400","","","","","","UG-T","WR","0","5","","","2.5","","","","IP","","","","1,2,4"
"16","","Tourmaline","1965","DEC","1","10:30:00.088","AL-IE","24.04370","5.04690","","","","","","UG-T","WR","10","20","10","","10","5.10","","","IP","","","","1,2,4"
"17","","Grenat (Georgette)","1966","FEB","16","11:00:00.035","AL-IE","24.04410","5.04120","","","-403","","","UG-T","WR/P","10","20","13","","13","4.94","","","IP","","","","1,2,4"
"18","1966","Aldebaran","1966","JUL","2","15:34","PMU-L","-21.87000","-139.00000","*","","10","-35","","AW-BG","WR","28","","","","28","","","","IP","AN-52","","","1,2,3,5"
"19","1966","Tamoure","1966","JUL","19","15:05","PMU","-21.80000","-138.90000","*","","1000","","","A-AD","WR","50","","","","50","","","","IP","AN-11","","*","1,2,3,5,b"
"20","1966","Ganymede X","1966","JUL","21","12:00","PMU-CO","-21.79000","-138.91000","*","","12","","","AS","SE","0","","","","0","","","","ND","AN-22","","","2,3,5"
"21","1966","Betelguese","1966","SEP","11","17:30","PMU-DE","-21.83000","-138.88000","?","","470","","","A-B","WR","110","","","","110","","","","IP","MR-31","","","1,2,3,5"
"22","1966","Rigel","1966","SEP","24","17:00","PFA-FR","-22.23000","-138.73000","*","","3","-35","","AW-BG","WR","125","","","","125","","","","BF","","","","1,2,3,5"
"23","1966","Sirus","1966","OCT","4","21:00","PMU-DI","-21.87000","-139.00000","*","","10","-35","","AW-BG","WR","205","","","","205","","","","BF","","","","1,2,3,5"
"24","1967","Altair","1967","JUN","5","19:00","PMU-DE","-21.78900","-138.89500","","","295","","","A-B","WR","15","","","","15","","","","PR?","","","","1,2,3,5"
"25","1967","Antares","1967","JUN","27","18:30","PMU-DI","-21.86500","-139.00000","","","340","","","A-B","WR","120","","","","120","","","","PR?","","","","1,2,3,5"
"26","1967","Arcturus","1967","JUL","2","17:30","PMU-DE","-21.79500","-138.89200","","","3","-35","","AW-BG","WR","22","","","","22","","","","PR?","","","","1,2,3,5"
"27","1968","Capella","1968","JUL","7","22:00","PMU-DE","-21.83000","-138.88000","?","","463","","","A-B","WR","115","","","","115","","","","","","","","1,2,3,5"
"28","1968","Castor","1968","JUL","15","19:00","PMU-DI","-21.83000","-138.88000","?","","650","","","A-B","WR","450","","","","450","","","","BF","MR-41","","","1,2,3,5"
"29","1968","Pollux","1968","AUG","3","21:00","PMU-DE","-21.83000","-138.88000","?","","490","","","A-B","WR","150","","","","150","","","","BF","MR-41","","","1,2,3,5"
"30","1968","Canopus","1968","AUG","24","18:30:00.5","PFA-FR","-22.22800","-138.64400","","","520","","","A-B","WR","2600","","1000","","2600","4.95","","","TN","","","","1,2,3,5"
"31","1968","Procyon","1968","SEP","8","19:00:01","PMU-DI","-21.82100","-138.97500","","","700","","","A-B","WR","1280","","1000","","1280","4.91","","","TN","","","","1,2,3,5"
"32","1970","Andromede","1970","MAY","15","18:00","PMU-DE","-21.83000","-138.88000","?","","220","","","A-B","WR","13","","","","13","","","","","","","","1,2,3,5"
"33","1970","Cassiopee","1970","MAY","22","18:30","PMU-DI","-21.83000","-138.88000","?","","500","","","A-B","WR","224","","","","224","","","","TN","TN-60","","","1,2,3,5"
