"ID#","SERIES","SHOT","YEAR","MON","DAY","TIME","SITE","LAT","LONG","NT","HOLE","HOB","GZALT","NT","TYPE","PUR","YD-MN","YD-MX","YD-EST","NT","YIELD","MAG","CRAT","VENT","EVIC","WARHEAD","R","N","SOURCES"
"1","Hurricane","Hurricane","1952","OCT","3","00:59:24","MB","-20.39700","115.55840","","","-2.7","-12","","AW-BG","WE","25","","","","25","","270","","","","","","1,2,7,a,j"
"2","Totem","Totem T1","1953","OCT","14","21:30","SAU-EF","-28.69850","132.37160","","","31","300","","AS-T","WR","10","","","","10","","","","IP","Blue Danube?","","*","1,2,8,c,j"
"3","Totem","Totem T2","1953","OCT","26","21:30","SAU-EF","-28.71230","132.37730","","","31","310","","AS-T","WR","8","","","","8","","","","IP","Blue Danube?","","","1,2,8,c,j"
"4","Mosaic","Mosaic G1","1956","MAY","16","03:50","MB","-20.38190","115.54790","","","31","4","","AS-T","WR?","15","","","","15","","","","","","","","1,2,7,j"
"5","Mosaic","Mosaic G2","1956","JUN","19","02:14","MB","-20.40610","115.53610","","","31","8","","AS-T","","60","","98","","98","","","","","","","","1,2,7,j"
"6","Buffalo","Buffalo R1/One Tree","1956","SEP","27","07:30","SAU-MR","-29.86880","131.65940","*","","31","180","","AS-T","","15","","","","15","","","","IP","Red Beard","","","1,2,4,j"
"7","Buffalo","Buffalo R2/Marcoo","1956","OCT","4","07:00","SAU-MR","-29.88180","131.62470","*","","0.2","180","","AS","WE","1.5","","","","1.5","","50","","IU","Blue Danube","","","1,2,4,j"
"8","Buffalo","Buffalo R3/Kite","1956","OCT","11","05:57","SAU-MR","-29.88800","131.65000","*","","150","180","","A-AD","WR","3","","","","3","","","","","Blue Danube","","*","1,2,4,j"
"9","Buffalo","Buffalo R4/Breakaway","1956","OCT","22","14:35","SAU-MR","-29.89290","131.60480","*","","31","190","","AS-T","","10","","","","10","","","","","Red Beard","","*","1,2,4,j"
"10","Grapple","Grapple 1/Short Granite","1957","MAY","15","19:37","LI-MI","-4.05000","-154.90000","*","","2400","","","A-AD","WR?","300","","125","","300","","","","SL?","","","*","1,2,b"
